,songid,week_position,year,performer,song,spotify_genre,spotify_track_id,spotify_track_preview_url,spotify_track_album,spotify_track_explicit,spotify_track_duration_ms,spotify_track_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
2709,MoolahYoung Greatness,85,2016,Young Greatness,Moolah,['new orleans rap'],5htB2gxndGHrLb09x1Q3Vp,,I Tried To Tell Em 2,True,204026.0,56.0,0.604,0.5710000000000001,9.0,-5.732,True,0.24100000000000002,0.0264,0.0,0.302,0.23,62.912,4.0
2711,MoonlightXXXTENTACION,13,2018,XXXTENTACION,Moonlight,"['emo rap', 'miami hip hop']",0JP9xo3adEtGSdUEISiszL,,?,True,135090.0,87.0,0.9209999999999999,0.537,9.0,-5.723,False,0.0804,0.556,0.00404,0.102,0.711,128.009,4.0
2712,MoreUsher,15,2010,Usher,More,"['atl hip hop', 'dance pop', 'pop', 'pop rap', 'r&b', 'urban contemporary']",0aBKFfdyOD1Ttvgv0cfjjJ,https://p.scdn.co/mp3-preview/dfe373203d81a58801869a658fcb6ea1878b20c8?cid=b8d3901151d34489a160e3cf0ab1fa94,More,False,219986.0,66.0,0.551,0.893,7.0,-2.628,True,0.0543,0.0016600000000000002,0.0,0.348,0.794,125.083,4.0
2713,More Girls Like YouKip Moore,66,2017,Kip Moore,More Girls Like You,"['contemporary country', 'country', 'country road', 'modern country rock']",73WWkaWkIRSP3MYGZ14aY4,,SLOWHEART,False,154706.0,61.0,0.555,0.746,2.0,-5.522,True,0.033,0.00825,0.0,0.0796,0.7120000000000001,75.01,4.0
2714,More Than MilesBrantley Gilbert,73,2013,Brantley Gilbert,More Than Miles,"['contemporary country', 'country', 'country road', 'modern country rock']",28ov70yrukmJDAFtiThdTS,,Halfway To Heaven (Deluxe Edition),False,252866.0,49.0,0.47,0.778,5.0,-5.992000000000001,True,0.037000000000000005,0.0295,0.000225,0.354,0.44799999999999995,152.005,4.0
2715,MoshPitKodak Black Featuring Juice WRLD,58,2018,Kodak Black Featuring Juice WRLD,MoshPit,"['florida rap', 'hip hop', 'melodic rap', 'miami hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",4KX8vXbouybtUptEyYxtIk,https://p.scdn.co/mp3-preview/0cbc45257e8d88aae5c0dacfc396f70e25b05a9e?cid=b8d3901151d34489a160e3cf0ab1fa94,Dying to Live,True,164038.0,72.0,0.769,0.627,7.0,-4.064,True,0.262,0.39399999999999996,0.0,0.106,0.49,157.938,4.0
2716,Most GirlsHailee Steinfeld,58,2017,Hailee Steinfeld,Most Girls,"['dance pop', 'pop', 'post-teen pop']",10GJQkjRJcZhGTLagFOC62,,Most Girls,False,204400.0,78.0,0.76,0.588,9.0,-7.082000000000001,True,0.0775,0.0485,0.0,0.0847,0.384,102.97399999999999,4.0
2717,Most People Are GoodLuke Bryan,43,2018,Luke Bryan,Most People Are Good,"['contemporary country', 'country', 'country road']",79LAFAkR1ATb4iIQvZuCL0,,What Makes You Country,False,221800.0,68.0,0.5820000000000001,0.728,8.0,-6.151,True,0.0292,0.174,0.0,0.139,0.537,150.013,4.0
2718,Mother's DaughterMiley Cyrus,54,2019,Miley Cyrus,Mother's Daughter,"['dance pop', 'pop', 'post-teen pop']",2WyRfGeHo97VC5mP1BBSzr,https://p.scdn.co/mp3-preview/184c5b9372c85ace91e28dcfc0fa29125999b563?cid=b8d3901151d34489a160e3cf0ab1fa94,SHE IS COMING,True,219080.0,78.0,0.6809999999999999,0.865,1.0,-4.132,False,0.0594,0.00464,0.0016899999999999999,0.149,0.528,91.01700000000001,4.0
2719,Mother's DaughterMiley Cyrus,54,2019,Miley Cyrus,Mother's Daughter,"['dance pop', 'pop', 'post-teen pop']",2WyRfGeHo97VC5mP1BBSzr,https://p.scdn.co/mp3-preview/184c5b9372c85ace91e28dcfc0fa29125999b563?cid=b8d3901151d34489a160e3cf0ab1fa94,SHE IS COMING,True,219080.0,80.0,0.6809999999999999,0.865,1.0,-4.132,False,0.0594,0.00464,0.0016899999999999999,0.149,0.528,91.01700000000001,4.0
2720,Motiv8J. Cole,15,2018,J. Cole,Motiv8,"['conscious hip hop', 'hip hop', 'nc hip hop', 'pop rap', 'rap']",1AT4xjNarTswd0UZ5FlmKF,,KOD,True,133921.0,69.0,0.8690000000000001,0.385,4.0,-7.801,True,0.297,0.135,0.0,0.0931,0.596,149.89700000000002,4.0
